layer,dir,mode,c,n_pairs,P_A_plus,P_A_minus,P_A_zero,swing,ci_lo,ci_hi,mass_plus,mass_minus
20,rand6,contrastive,0.05,120,0.5997149168622118,0.6004746252506489,,-0.0007597083884368971,-0.06036666357257399,0.05466627935720238,0.9875009583333333,0.9916725416666666
23,rand6,contrastive,0.05,120,0.4073317467975109,0.7407568273834731,,-0.3334250805859623,-0.4008124433533515,-0.26712744624174656,0.9916668333333333,0.9875
20,rand7,contrastive,0.02,120,0.590269930113498,0.6181038764722504,,-0.02783394635875236,-0.06324888153741418,0.004862162409249628,0.9875057916666667,0.9875044583333333
23,rand7,contrastive,0.02,120,0.627849662622296,0.5958872436782492,,0.03196241894404671,0.0019379760782294155,0.06188014536926677,0.9874987083333333,0.9875900000000001
20,rand7,contrastive,0.05,120,0.5984253387725692,0.6236756958698216,,-0.02525035709725254,-0.09256940400121963,0.043186452640022174,0.9914590000000001,0.9916655
23,rand7,contrastive,0.05,120,0.5661790192748538,0.6665711249462767,,-0.10039210567142301,-0.15805601436851777,-0.04365625385339311,0.9875011666666667,0.99161675
20,shuf0,contrastive,0.02,120,0.560101977084804,0.6402020400959593,,-0.08010006301115516,-0.1310455337732992,-0.03046178741585345,0.9875002083333333,0.9916478333333333
23,shuf0,contrastive,0.02,120,0.5735059917483845,0.6656990511365617,,-0.0921930593881772,-0.14889357872096798,-0.043401455467234014,0.9915175833333334,0.9874996666666667
20,shuf0,contrastive,0.05,120,0.47093541510991865,0.5935302626299,,-0.1225948475199814,-0.20181963047666282,-0.04174332927539403,0.9915445833333333,0.995833375
23,shuf0,contrastive,0.05,120,0.34484429422975116,0.7801912668815568,,-0.43534697265180555,-0.5061715279319007,-0.3671155002841168,0.9918671666666666,0.9875030416666667
20,shuf1,contrastive,0.02,120,0.6302315957481651,0.5961386836920669,,0.03409291205609823,-0.008164178257122606,0.08007994914702411,0.9875017083333333,0.9894715833333334
23,shuf1,contrastive,0.02,120,0.5834669554185967,0.6225589483612936,,-0.03909199294269698,-0.0838210076131246,0.0031271259237427335,0.9914911666666666,0.98749975
20,shuf1,contrastive,0.05,120,0.5040005576072606,0.5926619917731316,,-0.08866143416587104,-0.14915619930615226,-0.026148319228348017,0.9915087916666666,0.995929125
23,shuf1,contrastive,0.05,120,0.33905433593263357,0.6737644887570651,,-0.3347101528244315,-0.4069821914558042,-0.265675877207346,0.99158825,0.9874987083333334
20,shuf2,contrastive,0.02,120,0.6535042199215347,0.5897632660459547,,0.0637409538755801,0.021996734285104465,0.1078805177737803,0.987501625,0.9879600833333334
23,shuf2,contrastive,0.02,120,0.7484061789073891,0.47183671441854336,,0.27656946448884584,0.21742092084202752,0.3370669841214628,0.9874872499999999,0.9916646666666666
20,shuf2,contrastive,0.05,120,0.7216222256464578,0.5148516002506925,,0.20677062539576527,0.14418901017831814,0.274822465356705,0.9912285416666667,0.996273625
23,shuf2,contrastive,0.05,120,0.7726929579949343,0.44457312319037146,,0.3281198348045629,0.2577456377119688,0.40348901239130347,0.98759325,0.997137
